spec,pos,rID,sID,label,split,MFCC_1,MFCC_2,MFCC_3,MFCC_4,MFCC_5,MFCC_6,MFCC_7,MFCC_8,MFCC_9,MFCC_10,MFCC_11,MFCC_12,MFCC_13,Spectral_Centroid,Spectral_Bandwidth,Spectral_Rolloff,Spectral_Contrast_1,Spectral_Contrast_2,Spectral_Contrast_3,Spectral_Contrast_4,Spectral_Contrast_5,Spectral_Contrast_6,Spectral_Contrast_7,Chroma_STFT_1,Chroma_STFT_2,Chroma_STFT_3,Chroma_STFT_4,Chroma_STFT_5,Chroma_STFT_6,Chroma_STFT_7,Chroma_STFT_8,Chroma_STFT_9,Chroma_STFT_10,Chroma_STFT_11,Chroma_STFT_12,Chroma_CENS_1,Chroma_CENS_2,Chroma_CENS_3,Chroma_CENS_4,Chroma_CENS_5,Chroma_CENS_6,Chroma_CENS_7,Chroma_CENS_8,Chroma_CENS_9,Chroma_CENS_10,Chroma_CENS_11,Chroma_CENS_12,Zero_Crossing_Rate,RMS_Energy,Delta_MFCC_1,Delta_MFCC_2,Delta_MFCC_3,Delta_MFCC_4,Delta_MFCC_5,Delta_MFCC_6,Delta_MFCC_7,Delta_MFCC_8,Delta_MFCC_9,Delta_MFCC_10,Delta_MFCC_11,Delta_MFCC_12,Delta_MFCC_13,mID_count,source_file_count,path,fn,mID,time
Z01,Pos00,00000,Ch1,1,train,-651.2266387674609,-26.981741049192657,-99.63551273661881,-1.9007040616567974,41.7462654765876,-0.36621194616773717,-13.035630565079947,-1.5731719462449534,-3.490902743653642,-10.773121310476158,-4.996066489933282,2.8208505934006203,-11.996573614712663,128067.70688519774,139153.0177748013,281135.8482763198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5428418600797084,0.646217956240841,0.5745611275783117,0.4865101926504002,0.7147081593549167,0.8529577588843607,0.545452189495455,0.5550851623345621,0.5591756333988738,0.568922108565341,0.732998713800464,0.5313922576576866,0.29727135531815263,0.3880434811159263,0.4142783157381335,0.2393962156440983,0.2329191213615228,0.28329178901416363,0.24774183232375502,0.22805671404439729,0.2547135581235433,0.2495301074352522,0.2393962156440983,0.2393962156440983,0.07246662621359223,0.014563562534749507,-1.9583881490605808,0.5503932619999554,1.705738904551346,-0.6266866384873977,-0.248430226060718,-0.0887168526221545,-0.02440090132925202,0.18857699379697998,-0.051062988146511376,0.07494907390828344,-0.11617276990561191,-0.049705622925382956,0.17752738506447652,5,5,features_averaged_over_mid,Z01_Pos00_avgFeatures_00000_Ch1,mean,mean
Z01,Pos00,00000,Ch2,1,train,-624.7788616083446,-25.010936458258023,-101.24020519389771,4.3895441676172355,39.18196982586558,-4.7699219985809345,-3.6258941021565554,-1.8588635950884527,-12.184331467622298,-5.357520247957099,-3.1548255783868386,1.698053227838821,-8.756163417326945,126551.3052693383,132807.87752694,269494.7329641991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44806379390828377,0.5404169900500333,0.47838181332830254,0.40068981038599605,0.7284522685174057,0.8532209755644103,0.4544272930471659,0.4656951030438618,0.42891156230061905,0.5283574656461946,0.8123854535172825,0.5071336523716335,0.32763158762225064,0.37915466606455733,0.4030787219504817,0.24498162444545457,0.2352888198803007,0.28558881448189755,0.24542004349233712,0.2320173768794726,0.24148930519232353,0.24652954704721625,0.24298169061902541,0.24366854907500426,0.09865935983009708,0.021518290415406226,-2.2300637496707063,0.5961879556334985,1.8706544114991253,-0.6223146576419538,-0.24754754640404183,-0.03234600547089052,-0.17202350348064288,0.1353708669764932,0.14413291368960507,-0.03158648909873145,-0.01732101407780883,0.026372599893790753,-0.13036750490756346,5,5,features_averaged_over_mid,Z01_Pos00_avgFeatures_00000_Ch2,mean,mean
Z01,Pos00,00001,Ch1,1,train,-651.7892112213601,-25.682158712923428,-100.54082464408184,-1.466783308561103,42.13837728164951,-0.2904101980898145,-13.336367029943137,-1.9324271052632909,-3.489945693597021,-10.254184443114237,-4.727515229875147,2.975254099559268,-12.176873656904203,125829.39834321714,138534.67293350946,277768.0529751972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5503137198179363,0.6573728494079675,0.5828761402988084,0.49124009733192847,0.717019078050118,0.8506010825527269,0.5506091221017073,0.5622842407075745,0.5624769184885566,0.5723198424259472,0.7364235465114793,0.5356085292018812,0.33005618356311456,0.368541308749902,0.41029554535895035,0.24696692800434045,0.23833129476766007,0.2698741966367028,0.2658726609486559,0.23881720144241184,0.23881720144241184,0.23881720144241184,0.23881720144241184,0.23623974527607677,0.06994273361650485,0.014705532975494862,-1.9653103643931513,0.5601184887480564,1.6864591481519646,-0.6504304696236403,-0.24964241020771252,-0.09051370511127577,-0.026488195750280264,0.21669222670167257,-0.01851429341506237,0.09193033758033106,-0.13044990745057417,-0.07845410680646589,0.1696836609060922,5,5,features_averaged_over_mid,Z01_Pos00_avgFeatures_00001_Ch1,mean,mean
Z01,Pos00,00001,Ch2,1,train,-623.9233172047169,-22.648771458122507,-101.25354065661062,4.859384021165127,39.451353689512445,-4.950053419724858,-3.8684375360531638,-1.9086947696349603,-12.212007053885808,-4.950100978784031,-3.0690144528647703,1.7693248561626533,-8.504652881464326,125013.37415661271,132420.2279287319,267319.9865556736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4436924406092951,0.5371086989731706,0.4762946027046578,0.396745698052687,0.7147704306926397,0.849955416411883,0.44987950239417807,0.46034739372914907,0.4231238664151903,0.5216772663090605,0.8104419331876797,0.5087518699419558,0.33148748147213,0.3634051480026915,0.3912413541521004,0.2489247924107787,0.2589454816724833,0.2519672387298287,0.2525630173410653,0.2664041388268687,0.2437451083235657,0.2437451083235657,0.2437451083235657,0.24486888175852,0.09658108313106796,0.021981477737426758,-2.2212017455788122,0.6107756968141222,1.8424965867519405,-0.6371241685356207,-0.2633091513528851,-0.05175375953195097,-0.1460472019732107,0.1422880264141892,0.1428296946731593,-0.024076496294158985,0.008909124931259978,0.04080178768690686,-0.14551630832332593,5,5,features_averaged_over_mid,Z01_Pos00_avgFeatures_00001_Ch2,mean,mean
Z01,Pos01,00000,Ch1,1,train,-656.6187551172783,-24.126934149188088,-95.37411560176433,-0.25791963587955236,37.855486534870366,-3.6528078967348017,-9.696589163058405,2.771732822635837,-6.848046887583031,-16.03804783290944,-1.0778037841375887,10.681755316879812,-16.42741302506667,126698.45816462133,137967.77852171022,276893.01877085865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4548021202217167,0.5393256427987938,0.47884203938714254,0.4071549230990767,0.6592557194698478,0.7760178480296536,0.4160800331991192,0.40985812282124356,0.47441768927215,0.5276529453550587,0.7766098681444734,0.47680713255925156,0.3870035155643714,0.3384581317732439,0.3247570094004677,0.24575247388902835,0.24407736485892823,0.2943092836693898,0.30197951439702536,0.23703862020042368,0.2414152845847175,0.24499035045907086,0.22042422248762353,0.2414152845847175,0.07277286862864078,0.015460653603076935,-1.93434919358935,0.5023013497739036,1.6943331722951533,-0.5490564844764321,-0.29040819110912375,-0.13916697045813917,-0.014426177080939618,0.21160886058120165,-0.02462062032336439,0.10385965501794461,-0.1358348638418841,-0.15071014313443826,0.22258229095992926,5,5,features_averaged_over_mid,Z01_Pos01_avgFeatures_00000_Ch1,mean,mean
Z01,Pos01,00000,Ch2,1,train,-636.9814778049582,-26.742088924400257,-99.58059623395499,2.044849750190126,35.17386620708678,-3.564525707861023,-1.707926038912755,-0.6919023299121557,-12.718308830768262,-9.568840742427932,-2.7736135207235413,7.6494324163878264,-10.858078890264103,129969.99071853151,134534.71397655862,275584.4179573726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40706195093904496,0.48198463432919525,0.4207929477262796,0.36538878746005504,0.820222354340563,0.8705016957821521,0.3782257744924965,0.36569031681200986,0.36973319426164364,0.47370051527656865,0.6833849809422599,0.41219779442592897,0.39857073281406236,0.3287319100942901,0.32058856482665576,0.24802724881119934,0.24270831316241415,0.27642923222769683,0.28011271233959956,0.2770797236055705,0.23714653388200482,0.24210203215790713,0.23483567553435353,0.23871562962060203,0.10031856796116505,0.020242948643863203,-2.1536027960548387,0.5662415171162561,1.8103128780525357,-0.5800905056754996,-0.26836252330257515,-0.06868345847358481,-0.14621012090930213,0.14036391522323402,0.0864422934768235,-0.00935892884643119,0.043040002499711114,-0.03660046399224161,-0.10204391186541599,5,5,features_averaged_over_mid,Z01_Pos01_avgFeatures_00000_Ch2,mean,mean
Z01,Pos01,00001,Ch1,1,train,-655.612061684287,-23.54309138184089,-95.01866527438983,0.1496865158963882,38.20061389220218,-3.696795726349555,-9.72005138433131,3.060055177690215,-6.609359999609484,-16.46547001647198,-1.6676517653651142,10.873627638042056,-16.399380556219857,124930.04283190612,137521.45043396673,273852.1267672937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49086671609660437,0.5749065592215019,0.5178219389376395,0.44746363040969206,0.6773676473705155,0.791537983580633,0.4518843328834188,0.4479701851085771,0.5135540660887387,0.5564057999007215,0.7946163374574712,0.5159714906015977,0.3962805983323049,0.4103935164480501,0.43362806899053047,0.22920807332505957,0.22920807332505957,0.22920807332505957,0.24074590793015904,0.2012392623069948,0.22920807332505957,0.23750632070432703,0.20654928313628687,0.22920807332505957,0.07181432038834952,0.015767670609056948,-1.9385892208160702,0.48686360302894693,1.6605717441511811,-0.5545474910027761,-0.26673289558154767,-0.11546868810283946,-0.007220754660094052,0.21754493848772222,-0.005816564854109077,0.1288685608590639,-0.13715685421294774,-0.18476029541797537,0.21932161735348227,5,5,features_averaged_over_mid,Z01_Pos01_avgFeatures_00001_Ch1,mean,mean
Z01,Pos01,00001,Ch2,1,train,-635.7670989105115,-25.988814152720032,-98.71806397134192,2.4346273138346364,34.99082851087153,-4.025799612391229,-1.759044373525874,-0.10712185881132044,-12.12729877096004,-9.93434483793356,-3.4179226139410916,7.664014157024569,-10.79509073289482,129054.34170757467,134364.3245487578,274539.5125530947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42839195566016797,0.5020587865828708,0.4474003158716786,0.3911749890735928,0.7987070760023814,0.8838420781208282,0.40049345176900725,0.38915252320883614,0.395689941512512,0.4797262454651162,0.6908002931544385,0.4428324496076991,0.3605792326839162,0.3891938592572495,0.3888319838219114,0.24020958378008844,0.24020958378008844,0.23982854891879996,0.24308075590612094,0.20983944347289546,0.24020958378008844,0.2649328047402887,0.23039867096340227,0.2639351236186601,0.10025504399271845,0.02071815300732851,-2.1687689650556097,0.5609247325751943,1.7877917897862237,-0.60470531884983,-0.2561162028965975,-0.03482819119743981,-0.11378606630299541,0.14227682176003123,0.09802043605507724,0.023840206456827235,0.04765674413482113,-0.07061866018030491,-0.13028339686491103,5,5,features_averaged_over_mid,Z01_Pos01_avgFeatures_00001_Ch2,mean,mean
Z01,Pos02,00000,Ch1,1,train,-644.8836202178868,-23.269580975845976,-100.188433946581,0.9451516798711348,42.16405277158429,-2.655968561815329,-12.498080263507763,-0.22827803449497316,-4.017362843167881,-11.384678076055803,-4.538936454934301,4.382097764277926,-10.503815894758057,124878.39135917253,135995.26302208944,271918.3604331008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4475551921305514,0.523804438304934,0.4705235551328936,0.40771972540454,0.6380081471051896,0.7706981002222036,0.4717352946221182,0.48613331096223006,0.49142247808284234,0.5409970234289692,0.8473641543859266,0.5091927655105488,0.36558551019972113,0.33461635817583996,0.36775883849305513,0.2485235582365005,0.2485235582365005,0.25003175286348345,0.2951223350009883,0.2485235582365005,0.2485235582365005,0.2485235582365005,0.2485235582365005,0.25137358833663165,0.08022982402912622,0.01729823537170887,-2.0579700265092997,0.5216195223291586,1.7725767042004965,-0.6048160406579691,-0.26744408040167744,-0.095090645897269,-0.04631607311278078,0.20538227270724324,0.02442544195371339,0.11387367933783377,-0.1416132310552507,-0.12293252261146403,0.1477745767241705,5,5,features_averaged_over_mid,Z01_Pos02_avgFeatures_00000_Ch1,mean,mean
Z01,Pos02,00000,Ch2,1,train,-628.8412169800949,-30.627419068369136,-103.23391541308418,5.1419944968314875,38.8175868256054,-6.291564935818942,-3.669413699428078,-1.8773544925781074,-11.843864879751925,-4.467560864195631,-3.257691228187005,1.02868886439437,-7.659796526511657,126812.93357659774,132074.4757635241,268554.51562500006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3375219454428108,0.3958969763456041,0.3539097013101725,0.30255810200391253,0.5883039776121133,0.7696716610313381,0.39697212146089567,0.3795443109628994,0.3395475185273716,0.4355050628768076,0.7647900683984266,0.4560897047352087,0.3668513827084399,0.2961049826902385,0.372749673945444,0.2661663004851811,0.25438363791005986,0.25438363791005986,0.2847006717770378,0.25438363791005986,0.25438363791005986,0.25438363791005986,0.25438363791005986,0.25913786907516767,0.10686248483009711,0.022763799130916595,-2.243454306875367,0.5759467872193964,1.8663112363429577,-0.6411730436410533,-0.24348635241849167,-0.011346875743451917,-0.16995676680952282,0.14257130974097193,0.17868407818796733,-0.04197481869698999,-0.02978945623497927,0.022389082063037524,-0.12532247402530977,5,5,features_averaged_over_mid,Z01_Pos02_avgFeatures_00000_Ch2,mean,mean
