hidden_layer_sizes,learning_rate_init,batch_size,alpha,n_iter,final_loss,dev_accuracy,dev_balanced_accuracy,dev_precision_damaged_0,dev_recall_damaged_0,dev_specificity_damaged_0,dev_npv_damaged_0,dev_f1_damaged_0,dev_precision_good_1,dev_recall_good_1,dev_f1_good_1,dev_matthews_corrcoef,dev_roc_auc_damaged_0
"(16,)",0.0001,8,0.0001,328,0.011398335567196742,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(16,)",0.0001,8,0.001,328,0.013212561478898963,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(16,)",0.0001,8,0.01,330,0.03009359325720106,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(16,)",0.0001,16,0.0001,423,0.01793154408981556,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(16,)",0.0001,16,0.001,423,0.01896977639838895,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(16,)",0.0001,16,0.01,423,0.02900834176488049,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(16,)",0.0001,32,0.0001,528,0.027195607197750358,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(16,)",0.0001,32,0.001,528,0.0277073385885001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(16,)",0.0001,32,0.01,528,0.03278288307154197,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(16,)",0.001,8,0.0001,98,0.0020131098586887945,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(16,)",0.001,8,0.001,98,0.003971966207711406,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(16,)",0.001,8,0.01,106,0.019008069142301073,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(16,)",0.001,16,0.0001,120,0.0030739644661495697,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(16,)",0.001,16,0.001,120,0.004195249533821014,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(16,)",0.001,16,0.01,123,0.013780614188557595,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(16,)",0.001,32,0.0001,148,0.004466395558543098,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(16,)",0.001,32,0.001,148,0.005016590774591761,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(16,)",0.001,32,0.01,148,0.01027191869252475,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(16,)",0.01,8,0.0001,39,0.0003658447590569278,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(16,)",0.01,8,0.001,39,0.002250275349297168,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(16,)",0.01,8,0.01,93,0.004453075532593458,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(16,)",0.01,16,0.0001,42,0.00032033590941566,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(16,)",0.01,16,0.001,42,0.0015025095316248981,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(16,)",0.01,16,0.01,76,0.005727169154208709,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(16,)",0.01,32,0.0001,47,0.00030221311462693903,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(16,)",0.01,32,0.001,47,0.0009498342853499751,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(16,)",0.01,32,0.01,47,0.006299413823085512,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(32,)",0.0001,8,0.0001,321,0.010896929635202602,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(32,)",0.0001,8,0.001,321,0.013686764177535586,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(32,)",0.0001,8,0.01,328,0.03865154072003295,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(32,)",0.0001,16,0.0001,439,0.016137790564691307,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(32,)",0.0001,16,0.001,437,0.017894001772648528,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(32,)",0.0001,16,0.01,439,0.03302855439243933,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(32,)",0.0001,32,0.0001,567,0.025931490579500317,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(32,)",0.0001,32,0.001,563,0.027050330468777244,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(32,)",0.0001,32,0.01,563,0.03488925960205619,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(32,)",0.001,8,0.0001,97,0.0019600841919024787,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(32,)",0.001,8,0.001,94,0.004968815460221228,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(32,)",0.001,8,0.01,158,0.019567969484930135,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(32,)",0.001,16,0.0001,120,0.0029676818072218655,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(32,)",0.001,16,0.001,118,0.004737870896576328,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(32,)",0.001,16,0.01,124,0.01839421224200804,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(32,)",0.001,32,0.0001,149,0.004456077572534213,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(32,)",0.001,32,0.001,149,0.005295020794366804,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(32,)",0.001,32,0.01,149,0.013177660443561992,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(32,)",0.01,8,0.0001,38,0.0005075244549648219,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(32,)",0.01,8,0.001,38,0.0031728914221201827,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(32,)",0.01,8,0.01,97,0.0052537165682053355,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(32,)",0.01,16,0.0001,41,0.0003946298500396505,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(32,)",0.01,16,0.001,40,0.0021664800997333094,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(32,)",0.01,16,0.01,94,0.005484749822741548,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(32,)",0.01,32,0.0001,44,0.00024563715574235537,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(32,)",0.01,32,0.001,44,0.0012502913867194294,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
