path,fn,spec,pos,mID,time,rID,sID,label,split
D:\github\AI_diagnostics\Task_2\data\sig\Z01\Z01_Pos00_RC2_75k_0000\Z01_Pos00_RC2_75k_0000_1307031427\Wav\Z01_Pos00_RC2_75k_0000_1307031427_00000_14_Ch1.wav,Z01_Pos00_RC2_75k_0000_1307031427_00000_14_Ch1.wav,Z01,Pos00,0000,1307031427,00000,Ch1,1,train
D:\github\AI_diagnostics\Task_2\data\sig\Z01\Z01_Pos00_RC2_75k_0000\Z01_Pos00_RC2_75k_0000_1307031427\Wav\Z01_Pos00_RC2_75k_0000_1307031427_00000_14_Ch2.wav,Z01_Pos00_RC2_75k_0000_1307031427_00000_14_Ch2.wav,Z01,Pos00,0000,1307031427,00000,Ch2,1,train
D:\github\AI_diagnostics\Task_2\data\sig\Z01\Z01_Pos00_RC2_75k_0000\Z01_Pos00_RC2_75k_0000_1307031427\Wav\Z01_Pos00_RC2_75k_0000_1307031427_00001_14_Ch1.wav,Z01_Pos00_RC2_75k_0000_1307031427_00001_14_Ch1.wav,Z01,Pos00,0000,1307031427,00001,Ch1,1,train
D:\github\AI_diagnostics\Task_2\data\sig\Z01\Z01_Pos00_RC2_75k_0000\Z01_Pos00_RC2_75k_0000_1307031427\Wav\Z01_Pos00_RC2_75k_0000_1307031427_00001_14_Ch2.wav,Z01_Pos00_RC2_75k_0000_1307031427_00001_14_Ch2.wav,Z01,Pos00,0000,1307031427,00001,Ch2,1,train
D:\github\AI_diagnostics\Task_2\data\sig\Z01\Z01_Pos00_RC2_75k_0001\Z01_Pos00_RC2_75k_0001_1312091511\Wav\Z01_Pos00_RC2_75k_0001_1312091511_00000_14_Ch1.wav,Z01_Pos00_RC2_75k_0001_1312091511_00000_14_Ch1.wav,Z01,Pos00,0001,1312091511,00000,Ch1,1,train
D:\github\AI_diagnostics\Task_2\data\sig\Z01\Z01_Pos00_RC2_75k_0001\Z01_Pos00_RC2_75k_0001_1312091511\Wav\Z01_Pos00_RC2_75k_0001_1312091511_00000_14_Ch2.wav,Z01_Pos00_RC2_75k_0001_1312091511_00000_14_Ch2.wav,Z01,Pos00,0001,1312091511,00000,Ch2,1,train
D:\github\AI_diagnostics\Task_2\data\sig\Z01\Z01_Pos00_RC2_75k_0001\Z01_Pos00_RC2_75k_0001_1312091511\Wav\Z01_Pos00_RC2_75k_0001_1312091511_00001_14_Ch1.wav,Z01_Pos00_RC2_75k_0001_1312091511_00001_14_Ch1.wav,Z01,Pos00,0001,1312091511,00001,Ch1,1,train
D:\github\AI_diagnostics\Task_2\data\sig\Z01\Z01_Pos00_RC2_75k_0001\Z01_Pos00_RC2_75k_0001_1312091511\Wav\Z01_Pos00_RC2_75k_0001_1312091511_00001_14_Ch2.wav,Z01_Pos00_RC2_75k_0001_1312091511_00001_14_Ch2.wav,Z01,Pos00,0001,1312091511,00001,Ch2,1,train
D:\github\AI_diagnostics\Task_2\data\sig\Z01\Z01_Pos00_RC2_75k_0002\Z01_Pos00_RC2_75k_0002_1312101402\Wav\Z01_Pos00_RC2_75k_0002_1312101402_00000_14_Ch1.wav,Z01_Pos00_RC2_75k_0002_1312101402_00000_14_Ch1.wav,Z01,Pos00,0002,1312101402,00000,Ch1,1,train
D:\github\AI_diagnostics\Task_2\data\sig\Z01\Z01_Pos00_RC2_75k_0002\Z01_Pos00_RC2_75k_0002_1312101402\Wav\Z01_Pos00_RC2_75k_0002_1312101402_00000_14_Ch2.wav,Z01_Pos00_RC2_75k_0002_1312101402_00000_14_Ch2.wav,Z01,Pos00,0002,1312101402,00000,Ch2,1,train
