pipeline,fold,sID,spec,label,n_samples,predicted_anomaly_rate,mean_normalized_score,median_normalized_score,max_normalized_score
per_measurement,fold_1,Ch1,Z04,0,60,0.2833333333333333,0.9398008297095584,0.7345075345462926,3.2918446387310163
per_measurement,fold_1,Ch1,Z05,1,20,1.0,3.0721929856642514,2.9481286005846017,6.059055355423848
per_measurement,fold_1,Ch2,Z04,0,60,0.26666666666666666,0.810897795079973,0.6929547723848541,1.9187684642525198
per_measurement,fold_1,Ch2,Z05,1,20,1.0,3.1178638172965094,2.956559169458158,4.193403429790477
per_measurement,fold_2,Ch1,Z03,0,20,0.25,0.7479828722105599,0.6305204853789899,1.3883736401683333
per_measurement,fold_2,Ch1,Z05,1,20,1.0,2.898253908643866,2.725131572909863,4.886584057983544
per_measurement,fold_2,Ch2,Z03,0,20,0.25,0.9276658970268714,0.816788418874711,1.7352061597565591
per_measurement,fold_2,Ch2,Z05,1,20,1.0,3.294943351995717,3.140777128626313,4.701879134714864
per_measurement,fold_3,Ch1,Z02,0,20,0.15,0.6632357302127558,0.5895993720160151,1.518288487198642
per_measurement,fold_3,Ch1,Z05,1,20,1.0,2.6559590875386427,2.447583478792417,4.712826660608212
per_measurement,fold_3,Ch2,Z02,0,20,0.25,0.8395309664304913,0.6915085941071462,2.0505611036638
per_measurement,fold_3,Ch2,Z05,1,20,1.0,3.7021882863992097,3.629731780682195,5.393492059961316
per_measurement,fold_4,Ch1,Z01,0,100,0.81,2.3867124047541144,1.9863205875087708,8.003331664098866
per_measurement,fold_4,Ch1,Z05,1,20,1.0,3.5285991080081183,3.1929346749961525,6.8545079808276945
per_measurement,fold_4,Ch2,Z01,0,100,0.72,1.4965532490675186,1.265791275056516,5.335865620143972
per_measurement,fold_4,Ch2,Z05,1,20,1.0,3.4359280884179433,3.2585054163405163,4.9537344310576845
