fold,sID,spec,label,n_samples,predicted_anomaly_rate,mean_normalized_score,median_normalized_score,max_normalized_score
fold_1,Ch1,Z04,1,60,0.2833333333333333,0.9398008297095579,0.7345075345462921,3.2918446387310145
fold_1,Ch1,Z05,0,20,1.0,3.0721929856642505,2.9481286005846004,6.059055355423845
fold_1,Ch2,Z04,1,60,0.26666666666666666,0.8108977950799731,0.692954772384854,1.91876846425252
fold_1,Ch2,Z05,0,20,1.0,3.11786381729651,2.956559169458159,4.193403429790478
fold_2,Ch1,Z03,1,20,0.25,0.7479828722105598,0.6305204853789896,1.388373640168333
fold_2,Ch1,Z05,0,20,1.0,2.8982539086438655,2.7251315729098624,4.886584057983543
fold_2,Ch2,Z03,1,20,0.25,0.9276658970268713,0.8167884188747108,1.7352061597565593
fold_2,Ch2,Z05,0,20,1.0,3.294943351995716,3.1407771286263118,4.701879134714864
fold_3,Ch1,Z02,1,20,0.15,0.6632357302127556,0.5895993720160151,1.5182884871986413
fold_3,Ch1,Z05,0,20,1.0,2.6559590875386414,2.4475834787924153,4.712826660608213
fold_3,Ch2,Z02,1,20,0.25,0.8395309664304916,0.6915085941071462,2.0505611036638007
fold_3,Ch2,Z05,0,20,1.0,3.702188286399212,3.6297317806821967,5.39349205996132
fold_4,Ch1,Z01,1,100,0.81,2.3867124047541135,1.9863205875087706,8.00333166409886
fold_4,Ch1,Z05,0,20,1.0,3.5285991080081174,3.192934674996152,6.854507980827695
fold_4,Ch2,Z01,1,100,0.72,1.4965532490675182,1.2657912750565155,5.335865620143969
fold_4,Ch2,Z05,0,20,1.0,3.435928088417943,3.2585054163405145,4.953734431057685
