path,fn,spec,pos,mID,time,rID,sID,label,MFCC_1,MFCC_2,MFCC_3,MFCC_4,MFCC_5,MFCC_6,MFCC_7,MFCC_8,MFCC_9,MFCC_10,MFCC_11,MFCC_12,MFCC_13,Spectral_Centroid,Spectral_Bandwidth,Spectral_Rolloff,Spectral_Contrast_1,Spectral_Contrast_2,Spectral_Contrast_3,Spectral_Contrast_4,Spectral_Contrast_5,Spectral_Contrast_6,Spectral_Contrast_7,Chroma_STFT_1,Chroma_STFT_2,Chroma_STFT_3,Chroma_STFT_4,Chroma_STFT_5,Chroma_STFT_6,Chroma_STFT_7,Chroma_STFT_8,Chroma_STFT_9,Chroma_STFT_10,Chroma_STFT_11,Chroma_STFT_12,Chroma_CENS_1,Chroma_CENS_2,Chroma_CENS_3,Chroma_CENS_4,Chroma_CENS_5,Chroma_CENS_6,Chroma_CENS_7,Chroma_CENS_8,Chroma_CENS_9,Chroma_CENS_10,Chroma_CENS_11,Chroma_CENS_12,Zero_Crossing_Rate,RMS_Energy,Delta_MFCC_1,Delta_MFCC_2,Delta_MFCC_3,Delta_MFCC_4,Delta_MFCC_5,Delta_MFCC_6,Delta_MFCC_7,Delta_MFCC_8,Delta_MFCC_9,Delta_MFCC_10,Delta_MFCC_11,Delta_MFCC_12,Delta_MFCC_13
C:\GitHub\AI_diagnostics\Task_2\data\sig\Z01\Z01_Pos00_RC2_75k_0000\Z01_Pos00_RC2_75k_0000_1307031427\Wav\Z01_Pos00_RC2_75k_0000_1307031427_00000_14_Ch1.wav,Z01_Pos00_RC2_75k_0000_1307031427_00000_14_Ch1.wav,Z01,Pos00,0000,1307031427,00000,Ch1,0,-641.7706208924373,-31.06161079046251,-102.7165404554814,-2.683079666983045,46.562799252798825,4.026643859054168,-17.059076906563558,-9.101861018920252,0.9954409984568288,-1.7054537575083448,-6.944421585567149,-8.45021716099402,-13.363740752217952,122788.64830872272,138440.36768381507,274302.482971784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7015092192896966,0.9902000499852064,0.7657982485388954,0.4906178247434776,0.6055226817846823,0.6316002139958994,0.5286418736620032,0.5670564455618304,0.5630429129960527,0.5341919649212822,0.5875222784974399,0.4979912425541863,0.2446663279807722,0.4713168152063084,0.4639498777931998,0.2356584076031542,0.2356584076031542,0.2403130200386655,0.2356584076031542,0.2356584076031542,0.2356584076031542,0.2356584076031542,0.2356584076031542,0.2356584076031542,0.0685442581917475,0.0161057971417903,-1.982335540860728,0.4853880214080757,1.6974275181704024,-0.5476953510745799,-0.1695465731641989,-0.142553643016805,-0.1130546883457029,0.236515018735361,0.0249555897143123,0.0969754644180047,-0.1874234255508952,-0.0935814081381619,0.2588911064038003
C:\GitHub\AI_diagnostics\Task_2\data\sig\Z01\Z01_Pos00_RC2_75k_0000\Z01_Pos00_RC2_75k_0000_1307031427\Wav\Z01_Pos00_RC2_75k_0000_1307031427_00000_14_Ch2.wav,Z01_Pos00_RC2_75k_0000_1307031427_00000_14_Ch2.wav,Z01,Pos00,0000,1307031427,00000,Ch2,0,-613.2013603035805,-29.29605356657586,-104.10458554313058,4.558922052246957,43.41275189237562,-5.374860740270255,-6.230294622093673,-2.3966606298167723,-7.737330031664814,-3.2434045472687174,-6.493937069830358,-5.01431040067283,-8.47845588419775,125884.51258748869,132798.76621911235,267285.4197417324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6034793627235459,0.8561234066652711,0.6573533540329316,0.4216814498346329,0.7826790206824175,0.818416120477264,0.4228634274192006,0.4292498677680552,0.4147265960047361,0.56817787014724,0.8789401316315176,0.5113677716387764,0.2417371846448973,0.4654900757185446,0.4631425725479907,0.2364093661558221,0.2364093661558221,0.2457031729336998,0.2364093661558221,0.2364093661558221,0.2364093661558221,0.2364093661558221,0.2364093661558221,0.2398436584357164,0.1059475500606796,0.0223615895956754,-2.28860945828532,0.4792917878665075,1.921481177813132,-0.493208651235285,-0.247403909487635,-0.1277524467756036,-0.1801579570930602,0.2700350022486871,0.20395139443618,-0.0728878426049169,-0.0672733813486426,0.039321229320211,-0.1401502310507733
C:\GitHub\AI_diagnostics\Task_2\data\sig\Z01\Z01_Pos00_RC2_75k_0000\Z01_Pos00_RC2_75k_0000_1307031427\Wav\Z01_Pos00_RC2_75k_0000_1307031427_00001_14_Ch1.wav,Z01_Pos00_RC2_75k_0000_1307031427_00001_14_Ch1.wav,Z01,Pos00,0000,1307031427,00001,Ch1,0,-646.6022795851081,-25.73298136671905,-105.68669048580088,-1.2844329748856778,45.91806331884839,2.9283082121865185,-17.673097724754175,-10.160209178134052,1.9672545170812568,0.2209857330194391,-6.518333256310093,-8.110402969773133,-13.8457791374051,120793.70026696504,136464.16227090353,268510.0725785043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6798650514167114,0.9863949056400352,0.7466817976350882,0.4528875343647108,0.5889779763715135,0.6222997527756983,0.508843738164357,0.5515255910975007,0.5288354212953705,0.5001519876363743,0.5676975306843259,0.4662023580304779,0.4657855444588001,0.3539492645465995,0.3980057454457116,0.2328927722294,0.2328927722294,0.2328927722294,0.2328927722294,0.2328927722294,0.2328927722294,0.2328927722294,0.2328927722294,0.2328927722294,0.0727254626820388,0.0160920098423957,-2.009730050454972,0.5546096818255765,1.7161510313165595,-0.6160479186001301,-0.1895331477943952,-0.1713200676991691,-0.1268647155827286,0.243959633434892,0.0590422510711378,0.1140766880968756,-0.1882715524661599,-0.1152667293421342,0.2122651285535714
C:\GitHub\AI_diagnostics\Task_2\data\sig\Z01\Z01_Pos00_RC2_75k_0000\Z01_Pos00_RC2_75k_0000_1307031427\Wav\Z01_Pos00_RC2_75k_0000_1307031427_00001_14_Ch2.wav,Z01_Pos00_RC2_75k_0000_1307031427_00001_14_Ch2.wav,Z01,Pos00,0000,1307031427,00001,Ch2,0,-617.8763902141526,-23.942219236549523,-107.34881587567696,5.611064809954669,42.170700148292056,-6.806191823741687,-7.055621416324338,-2.4200649194937087,-6.977934060225457,-1.8912049918906129,-5.854120537827257,-4.71379735268055,-8.009958145475633,124489.317306746,130967.07449087284,262722.60030150187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5465684746611531,0.8126129189756051,0.5997798304225429,0.3494066815077561,0.775462731323092,0.821361559391266,0.3668123839560075,0.373231680693874,0.3415989638608742,0.5032002963943052,0.8384400562983766,0.449405766088004,0.4820028644690649,0.330591304717539,0.2840596981549582,0.2497328090241782,0.2497328090241782,0.2497328090241782,0.2497328090241782,0.2620763442906715,0.2497328090241782,0.2497328090241782,0.2497328090241782,0.255465821035256,0.1175857099514563,0.0226226598024368,-2.2894883472015377,0.5706785002849801,1.8943815049075592,-0.5241832125491727,-0.2831708187524758,-0.1240789696263778,-0.182293943512545,0.1659929718262404,0.129863489780592,-0.0304579841825474,0.0472504900467181,0.0587401553771627,-0.1803822267085626
C:\GitHub\AI_diagnostics\Task_2\data\sig\Z01\Z01_Pos00_RC2_75k_0001\Z01_Pos00_RC2_75k_0001_1312091511\Wav\Z01_Pos00_RC2_75k_0001_1312091511_00000_14_Ch1.wav,Z01_Pos00_RC2_75k_0001_1312091511_00000_14_Ch1.wav,Z01,Pos00,0001,1312091511,00000,Ch1,0,-659.3293917914159,-27.359429701746915,-103.47515708444492,-1.2029130396176928,41.845821690076384,-2.0628297822855566,-13.88071414635314,-0.0996313150086197,-3.1853972290179446,-13.357244813142604,-5.167400695350447,6.402473164193512,-9.40568807185558,128853.26319065316,138100.3721850095,278746.7876213593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4493928296681901,0.4949946947785033,0.4658890748629995,0.4342779609930371,0.6940934956953603,0.8540543777410975,0.5175314915416672,0.5332460779383827,0.5013782742916792,0.5606109984588024,0.8468561501712806,0.5251622661815762,0.3686389954171219,0.4120819669885306,0.4477567015915433,0.2238783507957716,0.1640978758954224,0.3068771304955241,0.2238783507957716,0.2238783507957716,0.2238783507957716,0.2238783507957716,0.2238783507957716,0.2238783507957716,0.0847096859830097,0.0133952088654041,-1.9601901442928995,0.6044370648810526,1.695314431917594,-0.6434128850491787,-0.281822658832087,-0.1159827728025347,-0.0059365842967995,0.2075046334301415,-0.0490975604146988,0.041965428413416,-0.1007115400280711,-0.0272109877300566,0.1683847803366606
C:\GitHub\AI_diagnostics\Task_2\data\sig\Z01\Z01_Pos00_RC2_75k_0001\Z01_Pos00_RC2_75k_0001_1312091511\Wav\Z01_Pos00_RC2_75k_0001_1312091511_00000_14_Ch2.wav,Z01_Pos00_RC2_75k_0001_1312091511_00000_14_Ch2.wav,Z01,Pos00,0001,1312091511,00000,Ch2,0,-637.0402591366501,-20.883420204927976,-99.1091977901959,5.022568151533113,35.529827288687265,-4.329256508110068,-1.0868023625605567,-2.205913218189709,-14.168267839006974,-7.313799516506878,-0.7985776071839825,3.737698106390214,-9.108083564556432,127517.2989832082,133701.86404029006,273161.7781117264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4418939866855631,0.488543944200975,0.4561839067651173,0.4305218105783698,0.844610430576158,0.9340480052660692,0.4553615409185604,0.4439040240312411,0.4410925384045876,0.5166661553648347,0.7092730272359536,0.4887558199347006,0.4125061084332682,0.4144268026073693,0.4389474904901024,0.2194737452450512,0.1752972616454294,0.298250898631994,0.2194737452450512,0.2194737452450512,0.2194737452450512,0.2194737452450512,0.2194737452450512,0.2194737452450512,0.0863736347087378,0.0185918323695659,-2.157963140193813,0.6449853991831433,1.8142483702771608,-0.657680318009036,-0.3035619602511206,-0.0612226632636554,-0.0808587293409423,0.1605776520409673,0.0921158781170673,-0.0535775252895863,-0.0088093071371395,0.0349413613949317,-0.0884579909302875
C:\GitHub\AI_diagnostics\Task_2\data\sig\Z01\Z01_Pos00_RC2_75k_0001\Z01_Pos00_RC2_75k_0001_1312091511\Wav\Z01_Pos00_RC2_75k_0001_1312091511_00001_14_Ch1.wav,Z01_Pos00_RC2_75k_0001_1312091511_00001_14_Ch1.wav,Z01,Pos00,0001,1312091511,00001,Ch1,0,-658.4924797034448,-27.516936714807965,-104.2774505770096,-1.4600816269221386,41.67124650489513,-2.3099850944003,-13.9349718123659,0.673944335344006,-2.589429578207659,-12.593411455682856,-5.072833014232375,5.841519090735614,-9.764400032559164,128608.67029519312,137848.0424036987,278549.26297026704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4326783853402195,0.4783367873248881,0.4487170664958969,0.4168373766824473,0.6850429162688225,0.8518773713878962,0.5062762827536248,0.5231186458452167,0.4817209895979363,0.5429580000860768,0.8397457222713111,0.5105689266267681,0.2328023398751932,0.4656046797503864,0.4656046797503864,0.2735509726848362,0.2303728065014345,0.2328023398751932,0.2328023398751932,0.2328023398751932,0.2328023398751932,0.2328023398751932,0.2328023398751932,0.2328023398751932,0.0853828504247572,0.013471245765686,-1.933871643025732,0.5874398155110218,1.6668179031417365,-0.6494686941931787,-0.2605424396275326,-0.1072582118356807,-0.0466755868436679,0.1899613573432279,-0.0229887352680842,0.1179888625630513,-0.0913266407654587,-0.0823754391964738,0.1358037400309387
C:\GitHub\AI_diagnostics\Task_2\data\sig\Z01\Z01_Pos00_RC2_75k_0001\Z01_Pos00_RC2_75k_0001_1312091511\Wav\Z01_Pos00_RC2_75k_0001_1312091511_00001_14_Ch2.wav,Z01_Pos00_RC2_75k_0001_1312091511_00001_14_Ch2.wav,Z01,Pos00,0001,1312091511,00001,Ch2,0,-635.1620425115755,-20.15713514800564,-98.652524216343,4.4561245145131725,35.53278501297072,-5.034931845958261,-0.937436730621451,-1.1989350167413322,-14.05986999726121,-6.586595895801271,-0.9700710793064624,3.491712893507856,-9.369255860400267,128558.67718689168,133947.16467650307,273912.37178587687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4225871742932082,0.4675611296663028,0.4362848058968845,0.4119496303166675,0.8364511734074944,0.9296427520448608,0.4407339635425919,0.4278157034758818,0.4207319057239538,0.5005344308287732,0.7033254252694537,0.4735425432906125,0.2343524917190805,0.4687049834381611,0.4687049834381611,0.2602509121551454,0.2268832209924537,0.2343524917190805,0.2343524917190805,0.2343524917190805,0.2343524917190805,0.2343524917190805,0.2343524917190805,0.2343524917190805,0.0882935755461165,0.0189260505139827,-2.1988247576949567,0.6424719515297623,1.836848837641056,-0.6105603167499328,-0.2842055220036358,-0.1261239876436659,-0.1481613627236053,0.1575934253749784,0.1122764065547789,-0.0011428379389601,0.0507703649026964,0.0259954292384489,-0.1616020123732693
C:\GitHub\AI_diagnostics\Task_2\data\sig\Z01\Z01_Pos00_RC2_75k_0002\Z01_Pos00_RC2_75k_0002_1312101402\Wav\Z01_Pos00_RC2_75k_0002_1312101402_00000_14_Ch1.wav,Z01_Pos00_RC2_75k_0002_1312101402_00000_14_Ch1.wav,Z01,Pos00,0002,1312101402,00000,Ch1,0,-652.5187714897057,-22.296252215727325,-104.28082610029598,-2.3744553625087867,42.59948036705562,-0.6796629850317747,-13.552810904866227,-0.7717433698965954,-3.943935905139601,-10.98150293388751,-3.831522659795604,6.002336447100506,-12.32533437232951,126142.71747374668,137095.78931148787,275334.5492737409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4247990951753226,0.5102551727751218,0.452564333987375,0.3805908204673834,0.6942318493186024,0.9303056266267818,0.4660921686610034,0.4581402216342244,0.4252985007808141,0.4715801703679847,0.700397697497355,0.4480436299623984,0.2544687584298578,0.2544687584298578,0.2544687584298578,0.2544687584298578,0.2818637619173296,0.386293233144921,0.2961968418281416,0.2544687584298578,0.3310554708270828,0.3051382173856274,0.2544687584298578,0.2544687584298578,0.0855772148058252,0.0145203275606036,-2.0082122563788607,0.5256652298457953,1.6851093058503717,-0.602819823269656,-0.15755577499052,-0.0559138959322638,-0.0367582097529322,0.1555800966928236,-0.071980496364825,0.0534129580912588,-0.0760994233150084,-0.0020240282845211,0.1720254129368622
C:\GitHub\AI_diagnostics\Task_2\data\sig\Z01\Z01_Pos00_RC2_75k_0002\Z01_Pos00_RC2_75k_0002_1312101402\Wav\Z01_Pos00_RC2_75k_0002_1312101402_00000_14_Ch2.wav,Z01_Pos00_RC2_75k_0002_1312101402_00000_14_Ch2.wav,Z01,Pos00,0002,1312101402,00000,Ch2,0,-629.6833923523125,-22.112710378105483,-108.540103072478,2.8623361408844463,39.700251305787866,-3.830389537573436,-4.314291518445017,-5.142046095220932,-12.223660885458765,-0.9832747125700728,-1.9331489764077503,2.6291747512507864,-6.977344905631943,125629.82224920594,130240.5896339312,265512.63599817967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2627604631280982,0.3495654065378403,0.3180774744120395,0.2334044611832858,0.4980547474569095,0.8677143551378282,0.4114467489321719,0.4660046442292046,0.2954188635232376,0.3211695025114139,0.6658696944450774,0.4199709074226033,0.329223885335746,0.2603620247156952,0.2603620247156952,0.2603620247156952,0.2735360817552028,0.3927886109987446,0.2800157162157631,0.2603620247156952,0.2603620247156952,0.2855632339901587,0.2678239518492045,0.2678239518492045,0.1247961544296116,0.0214042179286479,-2.32354811718035,0.6166093691737806,1.861744183739347,-0.6354142549332754,-0.1683947909265703,0.022009631487899,-0.1858830496266433,0.0707647682734512,0.1393503902519621,0.0022526977088883,-0.0224260951010401,0.0464355433200071,-0.1167120131763204
